categoria,arquitectura,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
global,B0,0.825,0.7,0.925,40,40
global,B1,,,,0,0
global,B2,,,,0,0
global,B3,,,,0,0
informativa,B0,0.9,0.7,1.0,10,10
informativa,B1,,,,0,0
informativa,B2,,,,0,0
informativa,B3,,,,0,0
diagnostico,B0,0.9,0.7,1.0,10,10
diagnostico,B1,,,,0,0
diagnostico,B2,,,,0,0
diagnostico,B3,,,,0,0
compuesta,B0,0.7,0.4,1.0,10,10
compuesta,B1,,,,0,0
compuesta,B2,,,,0,0
compuesta,B3,,,,0,0
adversarial,B0,0.8,0.5,1.0,10,10
adversarial,B1,,,,0,0
adversarial,B2,,,,0,0
adversarial,B3,,,,0,0
