codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,2691.1117,2391.93795,3076.2209,40.0,40
M4.1,B1,,mediana_entre_tareas,,,,0.0,0
M4.1,B2,,mediana_entre_tareas,,,,0.0,0
M4.1,B3,,mediana_entre_tareas,,,,0.0,0
M4.1,B0,,p95_ejecuciones,6907.821045,,,,40
M4.1,B0,,rango_intercuartilico_ejecuciones,1855.738375,,,,40
M4.4,B0,,mediana_entre_tareas,3.0,2.5,3.0,40.0,40
M4.4,B1,,mediana_entre_tareas,,,,0.0,0
M4.4,B2,,mediana_entre_tareas,,,,0.0,0
M4.4,B3,,mediana_entre_tareas,,,,0.0,0
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,40
M4.5,B1,,mediana_entre_tareas,,,,0.0,0
M4.5,B2,,mediana_entre_tareas,,,,0.0,0
M4.5,B3,,mediana_entre_tareas,,,,0.0,0
M4.6,B0,total,mediana_entre_tareas,15008.5,12156.0,15306.0,40.0,40
M4.6,B1,total,mediana_entre_tareas,,,,0.0,0
M4.6,B2,total,mediana_entre_tareas,,,,0.0,0
M4.6,B3,total,mediana_entre_tareas,,,,0.0,0
M4.6,B0,entrada,mediana_entre_tareas,14713.5,11971.5,15019.0,40.0,40
M4.6,B1,entrada,mediana_entre_tareas,,,,0.0,0
M4.6,B2,entrada,mediana_entre_tareas,,,,0.0,0
M4.6,B3,entrada,mediana_entre_tareas,,,,0.0,0
M4.6,B0,salida,mediana_entre_tareas,263.0,200.0,309.5,40.0,40
M4.6,B1,salida,mediana_entre_tareas,,,,0.0,0
M4.6,B2,salida,mediana_entre_tareas,,,,0.0,0
M4.6,B3,salida,mediana_entre_tareas,,,,0.0,0
M4.6,B0,total,suma_corrida,679227.0,,,,40
M4.6,B1,total,suma_corrida,0.0,,,,0
M4.6,B2,total,suma_corrida,0.0,,,,0
M4.6,B3,total,suma_corrida,0.0,,,,0
M4.6,,total,suma_corrida,679227.0,,,,40
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,40
M4.7,B1,,mediana_entre_tareas,,,,0.0,0
M4.7,B2,,mediana_entre_tareas,,,,0.0,0
M4.7,B3,,mediana_entre_tareas,,,,0.0,0
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,40
M4.7,B1,,proyeccion_1000_solicitudes,,,,0.0,0
M4.7,B2,,proyeccion_1000_solicitudes,,,,0.0,0
M4.7,B3,,proyeccion_1000_solicitudes,,,,0.0,0
