categoria,arquitectura,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
global,B0,0.907407,0.793103,1.0,27,36
global,B1,0.708333,0.52,0.884615,24,31
global,B2,0.708333,0.52,0.882353,24,30
global,B3,0.807692,0.659977,0.942308,26,39
informativa,B0,0.75,0.4,1.0,6,8
informativa,B1,0.571429,0.166667,1.0,7,9
informativa,B2,0.5,0.0,1.0,6,9
informativa,B3,0.625,0.25,1.0,8,12
diagnostico,B0,1.0,1.0,1.0,6,6
diagnostico,B1,0.666667,0.25,1.0,6,8
diagnostico,B2,0.625,0.285714,1.0,8,10
diagnostico,B3,0.714286,0.416667,1.0,7,9
compuesta,B0,0.857143,0.5,1.0,7,10
compuesta,B1,0.714286,0.333333,1.0,7,8
compuesta,B2,0.833333,0.5,1.0,6,7
compuesta,B3,1.0,1.0,1.0,6,9
adversarial,B0,1.0,1.0,1.0,8,12
adversarial,B1,1.0,1.0,1.0,4,6
adversarial,B2,1.0,1.0,1.0,4,4
adversarial,B3,1.0,1.0,1.0,5,9
