codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,2524.08875,2110.62685,3291.0125,27.0,36
M4.1,B1,,mediana_entre_tareas,3133.3777,2645.73895,3663.9688,24.0,31
M4.1,B2,,mediana_entre_tareas,7086.45475,4034.0416,8650.1397,24.0,30
M4.1,B3,,mediana_entre_tareas,7550.4332,4030.83235,8633.4793,26.0,39
M4.1,B0,,p95_ejecuciones,6872.94595,,,,36
M4.1,B0,,rango_intercuartilico_ejecuciones,1602.546075,,,,36
M4.1,B1,,p95_ejecuciones,6565.2601,,,,31
M4.1,B1,,rango_intercuartilico_ejecuciones,1632.4062,,,,31
M4.1,B2,,p95_ejecuciones,11716.447505,,,,30
M4.1,B2,,rango_intercuartilico_ejecuciones,5904.349875,,,,30
M4.1,B3,,p95_ejecuciones,11626.3219,,,,39
M4.1,B3,,rango_intercuartilico_ejecuciones,5741.8601,,,,39
M4.4,B0,,mediana_entre_tareas,2.0,2.0,3.0,27.0,36
M4.4,B1,,mediana_entre_tareas,2.75,2.0,3.0,24.0,31
M4.4,B2,,mediana_entre_tareas,8.0,4.0,9.0,24.0,30
M4.4,B3,,mediana_entre_tareas,7.5,5.0,9.0,26.0,39
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,27.0,36
M4.5,B1,,mediana_entre_tareas,0.0,0.0,0.0,24.0,31
M4.5,B2,,mediana_entre_tareas,5.0,2.0,6.0,24.0,30
M4.5,B3,,mediana_entre_tareas,4.0,2.0,6.0,26.0,39
M4.6,B0,total,mediana_entre_tareas,11804.0,11300.0,17463.0,27.0,36
M4.6,B1,total,mediana_entre_tareas,15783.25,11638.0,18465.0,24.0,31
M4.6,B2,total,mediana_entre_tareas,25373.75,16914.0,29409.0,24.0,30
M4.6,B3,total,mediana_entre_tareas,24748.75,18002.0,29219.0,26.0,39
M4.6,B0,entrada,mediana_entre_tareas,11494.0,11069.0,17101.0,27.0,36
M4.6,B1,entrada,mediana_entre_tareas,15499.0,11281.0,17859.5,24.0,31
M4.6,B2,entrada,mediana_entre_tareas,24577.5,16249.0,28896.0,24.0,30
M4.6,B3,entrada,mediana_entre_tareas,24106.0,17688.0,28054.5,26.0,39
M4.6,B0,salida,mediana_entre_tareas,303.0,218.0,363.0,27.0,36
M4.6,B1,salida,mediana_entre_tareas,316.75,221.0,387.0,24.0,31
M4.6,B2,salida,mediana_entre_tareas,874.25,513.0,1133.0,24.0,30
M4.6,B3,salida,mediana_entre_tareas,844.5,401.5,991.75,26.0,39
M4.6,B0,total,suma_corrida,584204.0,,,,36
M4.6,B1,total,suma_corrida,499713.0,,,,31
M4.6,B2,total,suma_corrida,766116.0,,,,30
M4.6,B3,total,suma_corrida,949730.0,,,,39
M4.6,,total,suma_corrida,2799763.0,,,,136
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,27.0,36
M4.7,B1,,mediana_entre_tareas,0.0,0.0,0.0,24.0,31
M4.7,B2,,mediana_entre_tareas,0.0,0.0,0.0,24.0,30
M4.7,B3,,mediana_entre_tareas,0.0,0.0,0.0,26.0,39
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,27.0,36
M4.7,B1,,proyeccion_1000_solicitudes,0.0,0.0,0.0,24.0,31
M4.7,B2,,proyeccion_1000_solicitudes,0.0,0.0,0.0,24.0,30
M4.7,B3,,proyeccion_1000_solicitudes,0.0,0.0,0.0,26.0,39
