categoria,arquitectura,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
global,B0,1.0,1.0,1.0,10,11
global,B1,0.833333,0.5,1.0,6,7
global,B2,0.888889,0.625,1.0,9,9
global,B3,0.857143,0.5,1.0,7,8
informativa,B0,1.0,1.0,1.0,1,1
informativa,B1,0.0,0.0,0.0,1,1
informativa,B2,1.0,1.0,1.0,1,1
informativa,B3,0.5,0.0,1.0,2,2
diagnostico,B0,1.0,1.0,1.0,3,3
diagnostico,B1,1.0,1.0,1.0,2,3
diagnostico,B2,1.0,1.0,1.0,5,5
diagnostico,B3,1.0,1.0,1.0,2,2
compuesta,B0,1.0,1.0,1.0,3,3
compuesta,B1,1.0,1.0,1.0,1,1
compuesta,B2,0.5,0.0,1.0,2,2
compuesta,B3,1.0,1.0,1.0,3,4
adversarial,B0,1.0,1.0,1.0,3,4
adversarial,B1,1.0,1.0,1.0,2,2
adversarial,B2,1.0,1.0,1.0,1,1
adversarial,B3,,,,0,0
