codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,12038.58345,7654.00345,18952.4905,10.0,11
M4.1,B1,,mediana_entre_tareas,9775.1948,6673.5576,14375.0043,6.0,7
M4.1,B2,,mediana_entre_tareas,29879.6737,16833.67345,45450.18185,9.0,9
M4.1,B3,,mediana_entre_tareas,39657.0019,33724.6833,41536.2166,7.0,8
M4.1,B0,,p95_ejecuciones,26673.0122,,,,11
M4.1,B0,,rango_intercuartilico_ejecuciones,6404.5063,,,,11
M4.1,B1,,p95_ejecuciones,14842.34162,,,,7
M4.1,B1,,rango_intercuartilico_ejecuciones,4676.25335,,,,7
M4.1,B2,,p95_ejecuciones,50074.73516,,,,9
M4.1,B2,,rango_intercuartilico_ejecuciones,10674.1346,,,,9
M4.1,B3,,p95_ejecuciones,42859.287295,,,,8
M4.1,B3,,rango_intercuartilico_ejecuciones,4416.317775,,,,8
M4.4,B0,,mediana_entre_tareas,2.0,1.0,4.0,10.0,11
M4.4,B1,,mediana_entre_tareas,1.5,1.0,2.5,6.0,7
M4.4,B2,,mediana_entre_tareas,6.0,3.5,10.0,9.0,9
M4.4,B3,,mediana_entre_tareas,8.0,7.5,10.0,7.0,8
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,10.0,11
M4.5,B1,,mediana_entre_tareas,0.0,0.0,0.0,6.0,7
M4.5,B2,,mediana_entre_tareas,4.0,2.0,6.0,9.0,9
M4.5,B3,,mediana_entre_tareas,4.0,4.0,6.0,7.0,8
M4.6,B0,total,mediana_entre_tareas,12316.5,5470.0,26798.5,10.0,11
M4.6,B1,total,mediana_entre_tareas,8750.0,5409.0,15818.75,6.0,7
M4.6,B2,total,mediana_entre_tareas,20365.0,12779.0,29420.0,9.0,9
M4.6,B3,total,mediana_entre_tareas,32415.0,22985.0,48562.0,7.0,8
M4.6,B0,entrada,mediana_entre_tareas,11939.5,5231.0,26179.0,10.0,11
M4.6,B1,entrada,mediana_entre_tareas,8459.5,5228.0,15416.75,6.0,7
M4.6,B2,entrada,mediana_entre_tareas,19529.0,12371.5,28073.0,9.0,9
M4.6,B3,entrada,mediana_entre_tareas,31362.0,22076.0,47192.0,7.0,8
M4.6,B0,salida,mediana_entre_tareas,280.5,197.0,567.0,10.0,11
M4.6,B1,salida,mediana_entre_tareas,255.5,179.0,439.0,6.0,7
M4.6,B2,salida,mediana_entre_tareas,836.0,407.5,1276.0,9.0,9
M4.6,B3,salida,mediana_entre_tareas,988.5,770.0,1230.0,7.0,8
M4.6,B0,total,suma_corrida,184591.0,,,,11
M4.6,B1,total,suma_corrida,72405.0,,,,7
M4.6,B2,total,suma_corrida,211333.0,,,,9
M4.6,B3,total,suma_corrida,258546.0,,,,8
M4.6,,total,suma_corrida,726875.0,,,,35
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,10.0,11
M4.7,B1,,mediana_entre_tareas,0.0,0.0,0.0,6.0,7
M4.7,B2,,mediana_entre_tareas,0.0,0.0,0.0,9.0,9
M4.7,B3,,mediana_entre_tareas,0.0,0.0,0.0,7.0,8
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,10.0,11
M4.7,B1,,proyeccion_1000_solicitudes,0.0,0.0,0.0,6.0,7
M4.7,B2,,proyeccion_1000_solicitudes,0.0,0.0,0.0,9.0,9
M4.7,B3,,proyeccion_1000_solicitudes,0.0,0.0,0.0,7.0,8
