categoria,arquitectura,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
global,B0,0.956522,0.857143,1.0,23,26
global,B1,0.833333,0.647059,1.0,18,22
global,B2,0.85,0.681818,1.0,20,23
global,B3,0.842105,0.666667,1.0,19,23
informativa,B0,0.833333,0.5,1.0,6,7
informativa,B1,0.6,0.0,1.0,5,5
informativa,B2,0.666667,0.25,1.0,6,7
informativa,B3,0.714286,0.333333,1.0,7,7
diagnostico,B0,1.0,1.0,1.0,5,5
diagnostico,B1,1.0,1.0,1.0,4,6
diagnostico,B2,1.0,1.0,1.0,7,9
diagnostico,B3,1.0,1.0,1.0,4,4
compuesta,B0,1.0,1.0,1.0,6,7
compuesta,B1,0.8,0.333333,1.0,5,6
compuesta,B2,0.75,0.166667,1.0,4,4
compuesta,B3,0.8,0.333333,1.0,5,7
adversarial,B0,1.0,1.0,1.0,6,7
adversarial,B1,1.0,1.0,1.0,4,5
adversarial,B2,1.0,1.0,1.0,3,3
adversarial,B3,1.0,1.0,1.0,3,5
