codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,4952.1132,3961.9303,6298.4685,21.0,24
M4.1,B1,,mediana_entre_tareas,5045.58735,3806.159,5513.5307,16.0,20
M4.1,B2,,mediana_entre_tareas,10556.0288,7105.7662,12949.138904,20.0,23
M4.1,B3,,mediana_entre_tareas,10499.641025,8068.65795,14448.114,18.0,22
M4.1,B0,,p95_ejecuciones,10920.79403,,,,24
M4.1,B0,,rango_intercuartilico_ejecuciones,4086.265025,,,,24
M4.1,B1,,p95_ejecuciones,11288.019905,,,,20
M4.1,B1,,rango_intercuartilico_ejecuciones,2883.15515,,,,20
M4.1,B2,,p95_ejecuciones,22227.2797,,,,23
M4.1,B2,,rango_intercuartilico_ejecuciones,6911.14335,,,,23
M4.1,B3,,p95_ejecuciones,25626.41875,,,,22
M4.1,B3,,rango_intercuartilico_ejecuciones,8808.100425,,,,22
M4.4,B0,,mediana_entre_tareas,4.0,3.0,5.0,21.0,24
M4.4,B1,,mediana_entre_tareas,3.0,2.0,5.0,16.0,20
M4.4,B2,,mediana_entre_tareas,8.0,5.5,11.0,20.0,23
M4.4,B3,,mediana_entre_tareas,8.5,7.0,11.0,18.0,22
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,21.0,24
M4.5,B1,,mediana_entre_tareas,0.0,0.0,0.0,16.0,20
M4.5,B2,,mediana_entre_tareas,4.0,3.0,6.0,20.0,23
M4.5,B3,,mediana_entre_tareas,4.0,4.0,4.5,18.0,22
M4.6,B0,total,mediana_entre_tareas,22342.0,17033.0,29333.0,21.0,24
M4.6,B1,total,mediana_entre_tareas,17709.0,11712.0,29718.0,16.0,20
M4.6,B2,total,mediana_entre_tareas,28211.0,19817.0,41321.5,20.0,23
M4.6,B3,total,mediana_entre_tareas,30058.0,24861.5,45331.0,18.0,22
M4.6,B0,entrada,mediana_entre_tareas,22109.0,16680.0,28937.0,21.0,24
M4.6,B1,entrada,mediana_entre_tareas,17434.5,11368.0,29238.0,16.0,20
M4.6,B2,entrada,mediana_entre_tareas,27132.5,19296.0,40264.0,20.0,23
M4.6,B3,entrada,mediana_entre_tareas,29486.0,23927.0,44097.0,18.0,22
M4.6,B0,salida,mediana_entre_tareas,353.0,233.0,410.0,21.0,24
M4.6,B1,salida,mediana_entre_tareas,327.0,221.0,392.0,16.0,20
M4.6,B2,salida,mediana_entre_tareas,858.0,539.0,1066.0,20.0,23
M4.6,B3,salida,mediana_entre_tareas,912.0,572.0,1255.0,18.0,22
M4.6,B0,total,suma_corrida,530015.0,,,,24
M4.6,B1,total,suma_corrida,409896.0,,,,20
M4.6,B2,total,suma_corrida,726179.0,,,,23
M4.6,B3,total,suma_corrida,712418.0,,,,22
M4.6,,total,suma_corrida,2378508.0,,,,89
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,21.0,24
M4.7,B1,,mediana_entre_tareas,0.0,0.0,0.0,16.0,20
M4.7,B2,,mediana_entre_tareas,0.0,0.0,0.0,20.0,23
M4.7,B3,,mediana_entre_tareas,0.0,0.0,0.0,18.0,22
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,21.0,24
M4.7,B1,,proyeccion_1000_solicitudes,0.0,0.0,0.0,16.0,20
M4.7,B2,,proyeccion_1000_solicitudes,0.0,0.0,0.0,20.0,23
M4.7,B3,,proyeccion_1000_solicitudes,0.0,0.0,0.0,18.0,22
