codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,2817.09055,2525.60505,3738.32975,40.0,120
M4.1,B1,,mediana_entre_tareas,2734.5616,2443.1383,3779.3953,40.0,120
M4.1,B2,,mediana_entre_tareas,5189.53955,4464.3455,8113.51315,40.0,120
M4.1,B3,,mediana_entre_tareas,5225.05075,4756.4663,8195.8473,40.0,120
M4.1,B0,,p95_ejecuciones,9160.314585,,,,120
M4.1,B0,,rango_intercuartilico_ejecuciones,1942.777725,,,,120
M4.1,B1,,p95_ejecuciones,8678.65834,,,,120
M4.1,B1,,rango_intercuartilico_ejecuciones,2289.822025,,,,120
M4.1,B2,,p95_ejecuciones,14396.09383,,,,120
M4.1,B2,,rango_intercuartilico_ejecuciones,5522.212425,,,,120
M4.1,B3,,p95_ejecuciones,14685.3676,,,,120
M4.1,B3,,rango_intercuartilico_ejecuciones,4809.003975,,,,120
M4.4,B0,,mediana_entre_tareas,2.0,2.0,3.0,40.0,120
M4.4,B1,,mediana_entre_tareas,2.0,2.0,3.0,40.0,120
M4.4,B2,,mediana_entre_tareas,4.0,4.0,7.0,40.0,120
M4.4,B3,,mediana_entre_tareas,5.0,4.0,7.0,40.0,120
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.5,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.5,B2,,mediana_entre_tareas,2.0,2.0,4.0,40.0,120
M4.5,B3,,mediana_entre_tareas,2.0,2.0,4.0,40.0,120
M4.6,B0,total,mediana_entre_tareas,10487.5,10222.0,15643.5,40.0,120
M4.6,B1,total,mediana_entre_tareas,10480.5,10210.0,15636.0,40.0,120
M4.6,B2,total,mediana_entre_tareas,15315.0,13501.0,23627.5,40.0,120
M4.6,B3,total,mediana_entre_tareas,17224.5,14296.0,23441.0,40.0,120
M4.6,B0,entrada,mediana_entre_tareas,10287.5,10003.0,15367.0,40.0,120
M4.6,B1,entrada,mediana_entre_tareas,10281.0,10003.0,15361.0,40.0,120
M4.6,B2,entrada,mediana_entre_tareas,15008.5,13081.5,23041.5,40.0,120
M4.6,B3,entrada,mediana_entre_tareas,16929.5,13952.0,22835.0,40.0,120
M4.6,B0,salida,mediana_entre_tareas,212.0,185.5,261.5,40.0,120
M4.6,B1,salida,mediana_entre_tareas,219.0,193.5,275.5,40.0,120
M4.6,B2,salida,mediana_entre_tareas,374.5,308.0,583.5,40.0,120
M4.6,B3,salida,mediana_entre_tareas,408.5,313.0,622.0,40.0,120
M4.6,B0,total,suma_corrida,1872339.0,,,,120
M4.6,B1,total,suma_corrida,1847620.0,,,,120
M4.6,B2,total,suma_corrida,2576199.0,,,,120
M4.6,B3,total,suma_corrida,2523398.0,,,,120
M4.6,,total,suma_corrida,8819556.0,,,,480
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B2,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B3,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B1,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B2,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B3,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
