codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,4539.7783,3626.67315,5284.23495,40.0,120
M4.1,B1,,mediana_entre_tareas,4806.3786,3768.8393,5335.2958,40.0,120
M4.1,B2,,mediana_entre_tareas,9783.79665,8265.6388,11135.0269,40.0,120
M4.1,B3,,mediana_entre_tareas,10199.3005,7188.81605,12004.0575,40.0,120
M4.1,B0,,p95_ejecuciones,11860.868515,,,,120
M4.1,B0,,rango_intercuartilico_ejecuciones,3672.370175,,,,120
M4.1,B1,,p95_ejecuciones,11658.215775,,,,120
M4.1,B1,,rango_intercuartilico_ejecuciones,3824.9025,,,,120
M4.1,B2,,p95_ejecuciones,17425.03315,,,,120
M4.1,B2,,rango_intercuartilico_ejecuciones,9295.562125,,,,120
M4.1,B3,,p95_ejecuciones,19172.71483,,,,120
M4.1,B3,,rango_intercuartilico_ejecuciones,9542.26005,,,,120
M4.4,B0,,mediana_entre_tareas,3.0,2.0,3.0,40.0,120
M4.4,B1,,mediana_entre_tareas,3.0,2.0,3.0,40.0,120
M4.4,B2,,mediana_entre_tareas,7.0,6.0,8.5,40.0,120
M4.4,B3,,mediana_entre_tareas,7.0,4.5,9.0,40.0,120
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.5,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.5,B2,,mediana_entre_tareas,4.0,3.0,4.0,40.0,120
M4.5,B3,,mediana_entre_tareas,4.0,2.0,4.0,40.0,120
M4.6,B0,total,mediana_entre_tareas,16403.0,10710.5,16639.2,40.0,120
M4.6,B1,total,mediana_entre_tareas,16121.5,10727.5,16652.0,40.0,120
M4.6,B2,total,mediana_entre_tareas,24820.5,21290.0,29521.0,40.0,120
M4.6,B3,total,mediana_entre_tareas,24619.5,17278.5,31813.0,40.0,120
M4.6,B0,entrada,mediana_entre_tareas,16099.5,10471.0,16289.0,40.0,120
M4.6,B1,entrada,mediana_entre_tareas,15822.0,10468.0,16316.1,40.0,120
M4.6,B2,entrada,mediana_entre_tareas,24075.0,20751.0,28814.0,40.0,120
M4.6,B3,entrada,mediana_entre_tareas,23943.5,16814.0,31127.0,40.0,120
M4.6,B0,salida,mediana_entre_tareas,277.5,231.0,351.5,40.0,120
M4.6,B1,salida,mediana_entre_tareas,306.0,229.5,348.5,40.0,120
M4.6,B2,salida,mediana_entre_tareas,643.5,515.5,820.5,40.0,120
M4.6,B3,salida,mediana_entre_tareas,658.5,435.5,813.5,40.0,120
M4.6,B0,total,suma_corrida,2219977.0,,,,120
M4.6,B1,total,suma_corrida,2199004.0,,,,120
M4.6,B2,total,suma_corrida,3184011.0,,,,120
M4.6,B3,total,suma_corrida,3239834.0,,,,120
M4.6,,total,suma_corrida,10842826.0,,,,480
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B2,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B3,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B1,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B2,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B3,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
