categoria,arquitectura,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
global,B0,0.841667,0.75,0.925,40,120
global,B1,0.8,0.691667,0.9,40,120
global,B2,0.7,0.575,0.816667,40,120
global,B3,0.666667,0.55,0.783333,40,120
informativa,B0,0.866667,0.7,1.0,10,30
informativa,B1,0.866667,0.7,1.0,10,30
informativa,B2,0.733333,0.533333,0.933333,10,30
informativa,B3,0.766667,0.533333,0.966667,10,30
diagnostico,B0,1.0,1.0,1.0,10,30
diagnostico,B1,1.0,1.0,1.0,10,30
diagnostico,B2,0.433333,0.133333,0.733333,10,30
diagnostico,B3,0.5,0.233333,0.766667,10,30
compuesta,B0,0.566667,0.333333,0.8,10,30
compuesta,B1,0.533333,0.266667,0.8,10,30
compuesta,B2,0.8,0.566667,1.0,10,30
compuesta,B3,0.633333,0.4,0.833333,10,30
adversarial,B0,0.933333,0.833333,1.0,10,30
adversarial,B1,0.8,0.566667,1.0,10,30
adversarial,B2,0.833333,0.665833,1.0,10,30
adversarial,B3,0.766667,0.533333,1.0,10,30
