categoria,arquitectura,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
global,B0,0.916667,0.825,0.991667,40,120
global,B1,0.916667,0.825,0.991667,40,120
global,B2,0.941667,0.866667,1.0,40,120
global,B3,0.925,0.825,1.0,40,120
informativa,B0,0.766667,0.5,1.0,10,30
informativa,B1,0.8,0.5,1.0,10,30
informativa,B2,0.866667,0.633333,1.0,10,30
informativa,B3,0.8,0.5,1.0,10,30
diagnostico,B0,1.0,1.0,1.0,10,30
diagnostico,B1,1.0,1.0,1.0,10,30
diagnostico,B2,1.0,1.0,1.0,10,30
diagnostico,B3,1.0,1.0,1.0,10,30
compuesta,B0,0.9,0.7,1.0,10,30
compuesta,B1,0.866667,0.666667,1.0,10,30
compuesta,B2,0.9,0.7,1.0,10,30
compuesta,B3,0.9,0.7,1.0,10,30
adversarial,B0,1.0,1.0,1.0,10,30
adversarial,B1,1.0,1.0,1.0,10,30
adversarial,B2,1.0,1.0,1.0,10,30
adversarial,B3,1.0,1.0,1.0,10,30
