categoria,arquitectura,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
global,B0,0.558333,0.425,0.691667,40,120
global,B1,0.533333,0.4,0.675,40,120
global,B2,0.325,0.2,0.458333,40,120
global,B3,0.341667,0.208333,0.483333,40,120
informativa,B0,0.5,0.266667,0.733333,10,30
informativa,B1,0.533333,0.266667,0.8,10,30
informativa,B2,0.133333,0.0,0.333333,10,30
informativa,B3,0.1,0.0,0.3,10,30
diagnostico,B0,0.833333,0.666667,1.0,10,30
diagnostico,B1,0.833333,0.7,0.966667,10,30
diagnostico,B2,0.4,0.166667,0.633333,10,30
diagnostico,B3,0.6,0.366667,0.833333,10,30
compuesta,B0,0.233333,0.0,0.5,10,30
compuesta,B1,0.2,0.0,0.5,10,30
compuesta,B2,0.1,0.0,0.3,10,30
compuesta,B3,0.1,0.0,0.3,10,30
adversarial,B0,0.666667,0.4,0.933333,10,30
adversarial,B1,0.566667,0.3,0.833333,10,30
adversarial,B2,0.666667,0.4,0.9,10,30
adversarial,B3,0.566667,0.3,0.833333,10,30
