codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,5518.0392,4891.84765,6321.29955,40.0,119
M4.1,B1,,mediana_entre_tareas,5348.57165,4435.01705,6434.55195,40.0,119
M4.1,B2,,mediana_entre_tareas,8419.0987,4884.3856,9470.690575,40.0,116
M4.1,B3,,mediana_entre_tareas,8780.5781,6051.0563,10074.223,40.0,116
M4.1,B0,,p95_ejecuciones,9534.84037,,,,119
M4.1,B0,,rango_intercuartilico_ejecuciones,3031.77495,,,,119
M4.1,B1,,p95_ejecuciones,10888.22339,,,,119
M4.1,B1,,rango_intercuartilico_ejecuciones,3514.9953,,,,119
M4.1,B2,,p95_ejecuciones,25005.998875,,,,116
M4.1,B2,,rango_intercuartilico_ejecuciones,7663.54805,,,,116
M4.1,B3,,p95_ejecuciones,26358.95255,,,,116
M4.1,B3,,rango_intercuartilico_ejecuciones,8638.719475,,,,116
M4.4,B0,,mediana_entre_tareas,2.0,2.0,2.0,40.0,120
M4.4,B1,,mediana_entre_tareas,2.0,2.0,2.0,40.0,120
M4.4,B2,,mediana_entre_tareas,4.0,1.5,4.0,40.0,120
M4.4,B3,,mediana_entre_tareas,4.0,2.0,4.0,40.0,120
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.5,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.5,B2,,mediana_entre_tareas,2.0,0.0,2.0,40.0,120
M4.5,B3,,mediana_entre_tareas,2.0,0.0,2.0,40.0,120
M4.6,B0,total,mediana_entre_tareas,12334.5,12084.0,12543.0,40.0,120
M4.6,B1,total,mediana_entre_tareas,12244.5,11905.0,12499.5,40.0,120
M4.6,B2,total,mediana_entre_tareas,15787.5,9289.5,16066.0,40.0,120
M4.6,B3,total,mediana_entre_tareas,15911.5,11083.5,16109.5,40.0,120
M4.6,B0,entrada,mediana_entre_tareas,12029.0,11743.0,12141.0,40.0,120
M4.6,B1,entrada,mediana_entre_tareas,11959.5,11663.5,12082.5,40.0,120
M4.6,B2,entrada,mediana_entre_tareas,15282.0,9024.5,15398.0,40.0,120
M4.6,B3,entrada,mediana_entre_tareas,15330.0,10484.0,15450.0,40.0,120
M4.6,B0,salida,mediana_entre_tareas,325.0,278.5,367.0,40.0,120
M4.6,B1,salida,mediana_entre_tareas,312.5,258.0,368.5,40.0,120
M4.6,B2,salida,mediana_entre_tareas,529.5,289.5,579.5,40.0,120
M4.6,B3,salida,mediana_entre_tareas,565.5,365.0,620.0,40.0,120
M4.6,B0,total,suma_corrida,1483283.0,,,,120
M4.6,B1,total,suma_corrida,1521476.0,,,,120
M4.6,B2,total,suma_corrida,3703064.0,,,,120
M4.6,B3,total,suma_corrida,3265897.0,,,,120
M4.6,,total,suma_corrida,9973720.0,,,,480
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B2,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B3,,mediana_entre_tareas,0.0,0.0,0.0,40.0,120
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B1,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B2,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
M4.7,B3,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,120
