categoria,arquitectura,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
global,B0,0.875,0.775,0.975,40,40
global,B1,0.925,0.825,1.0,40,40
global,B2,0.925,0.825,1.0,40,40
global,B3,0.95,0.875,1.0,40,40
informativa,B0,0.8,0.5,1.0,10,10
informativa,B1,0.8,0.5,1.0,10,10
informativa,B2,0.8,0.5,1.0,10,10
informativa,B3,0.9,0.7,1.0,10,10
diagnostico,B0,1.0,1.0,1.0,10,10
diagnostico,B1,1.0,1.0,1.0,10,10
diagnostico,B2,1.0,1.0,1.0,10,10
diagnostico,B3,1.0,1.0,1.0,10,10
compuesta,B0,0.7,0.4,1.0,10,10
compuesta,B1,0.9,0.7,1.0,10,10
compuesta,B2,0.9,0.7,1.0,10,10
compuesta,B3,0.9,0.7,1.0,10,10
adversarial,B0,1.0,1.0,1.0,10,10
adversarial,B1,1.0,1.0,1.0,10,10
adversarial,B2,1.0,1.0,1.0,10,10
adversarial,B3,1.0,1.0,1.0,10,10
