codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,5688.3906,5037.5085,7173.9337,40.0,40
M4.1,B1,,mediana_entre_tareas,5540.50875,5017.78805,6810.06875,40.0,40
M4.1,B2,,mediana_entre_tareas,11229.95345,8349.30445,13071.6093,40.0,40
M4.1,B3,,mediana_entre_tareas,11352.30945,10139.2061,13928.90165,40.0,40
M4.1,B0,,p95_ejecuciones,13051.14942,,,,40
M4.1,B0,,rango_intercuartilico_ejecuciones,4248.735375,,,,40
M4.1,B1,,p95_ejecuciones,13166.630815,,,,40
M4.1,B1,,rango_intercuartilico_ejecuciones,4509.71015,,,,40
M4.1,B2,,p95_ejecuciones,23146.541695,,,,40
M4.1,B2,,rango_intercuartilico_ejecuciones,10536.333725,,,,40
M4.1,B3,,p95_ejecuciones,23817.0058,,,,40
M4.1,B3,,rango_intercuartilico_ejecuciones,11615.566125,,,,40
M4.4,B0,,mediana_entre_tareas,3.0,2.5,3.0,40.0,40
M4.4,B1,,mediana_entre_tareas,3.0,2.5,3.0,40.0,40
M4.4,B2,,mediana_entre_tareas,7.0,4.5,7.0,40.0,40
M4.4,B3,,mediana_entre_tareas,7.0,5.5,8.0,40.0,40
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,40
M4.5,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,40
M4.5,B2,,mediana_entre_tareas,4.0,2.0,4.0,40.0,40
M4.5,B3,,mediana_entre_tareas,4.0,3.0,4.0,40.0,40
M4.6,B0,total,mediana_entre_tareas,16586.5,13200.5,16693.0,40.0,40
M4.6,B1,total,mediana_entre_tareas,16538.0,13218.5,16718.5,40.0,40
M4.6,B2,total,mediana_entre_tareas,24581.5,16755.5,26399.0,40.0,40
M4.6,B3,total,mediana_entre_tareas,25061.0,20038.0,28397.5,40.0,40
M4.6,B0,entrada,mediana_entre_tareas,16205.0,12935.0,16377.5,40.0,40
M4.6,B1,entrada,mediana_entre_tareas,16225.0,12935.0,16353.5,40.0,40
M4.6,B2,entrada,mediana_entre_tareas,23893.0,16408.0,25822.0,40.0,40
M4.6,B3,entrada,mediana_entre_tareas,24273.0,19540.5,27819.5,40.0,40
M4.6,B0,salida,mediana_entre_tareas,325.0,277.0,401.5,40.0,40
M4.6,B1,salida,mediana_entre_tareas,312.5,275.5,384.5,40.0,40
M4.6,B2,salida,mediana_entre_tareas,629.0,353.5,818.5,40.0,40
M4.6,B3,salida,mediana_entre_tareas,655.5,457.0,826.5,40.0,40
M4.6,B0,total,suma_corrida,786443.0,,,,40
M4.6,B1,total,suma_corrida,771369.0,,,,40
M4.6,B2,total,suma_corrida,1067180.0,,,,40
M4.6,B3,total,suma_corrida,1078077.0,,,,40
M4.6,,total,suma_corrida,3703069.0,,,,160
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,40
M4.7,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,40
M4.7,B2,,mediana_entre_tareas,0.0,0.0,0.0,40.0,40
M4.7,B3,,mediana_entre_tareas,0.0,0.0,0.0,40.0,40
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,40
M4.7,B1,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,40
M4.7,B2,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,40
M4.7,B3,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,40
