codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,5431.1635,4299.0452,6038.9082,40.0,40
M4.1,B1,,mediana_entre_tareas,,,,0.0,0
M4.1,B2,,mediana_entre_tareas,,,,0.0,0
M4.1,B3,,mediana_entre_tareas,,,,0.0,0
M4.1,B0,,p95_ejecuciones,8942.60891,,,,40
M4.1,B0,,rango_intercuartilico_ejecuciones,2188.853575,,,,40
M4.4,B0,,mediana_entre_tareas,2.0,2.0,2.0,40.0,40
M4.4,B1,,mediana_entre_tareas,,,,0.0,0
M4.4,B2,,mediana_entre_tareas,,,,0.0,0
M4.4,B3,,mediana_entre_tareas,,,,0.0,0
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,40
M4.5,B1,,mediana_entre_tareas,,,,0.0,0
M4.5,B2,,mediana_entre_tareas,,,,0.0,0
M4.5,B3,,mediana_entre_tareas,,,,0.0,0
M4.6,B0,total,mediana_entre_tareas,12233.0,11856.5,12422.0,40.0,40
M4.6,B1,total,mediana_entre_tareas,,,,0.0,0
M4.6,B2,total,mediana_entre_tareas,,,,0.0,0
M4.6,B3,total,mediana_entre_tareas,,,,0.0,0
M4.6,B0,entrada,mediana_entre_tareas,11885.0,11631.0,12072.5,40.0,40
M4.6,B1,entrada,mediana_entre_tareas,,,,0.0,0
M4.6,B2,entrada,mediana_entre_tareas,,,,0.0,0
M4.6,B3,entrada,mediana_entre_tareas,,,,0.0,0
M4.6,B0,salida,mediana_entre_tareas,294.0,255.0,331.0,40.0,40
M4.6,B1,salida,mediana_entre_tareas,,,,0.0,0
M4.6,B2,salida,mediana_entre_tareas,,,,0.0,0
M4.6,B3,salida,mediana_entre_tareas,,,,0.0,0
M4.6,B0,total,suma_corrida,485214.0,,,,40
M4.6,B1,total,suma_corrida,0.0,,,,0
M4.6,B2,total,suma_corrida,0.0,,,,0
M4.6,B3,total,suma_corrida,0.0,,,,0
M4.6,,total,suma_corrida,485214.0,,,,40
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,40
M4.7,B1,,mediana_entre_tareas,,,,0.0,0
M4.7,B2,,mediana_entre_tareas,,,,0.0,0
M4.7,B3,,mediana_entre_tareas,,,,0.0,0
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,40
M4.7,B1,,proyeccion_1000_solicitudes,,,,0.0,0
M4.7,B2,,proyeccion_1000_solicitudes,,,,0.0,0
M4.7,B3,,proyeccion_1000_solicitudes,,,,0.0,0
