categoria,arquitectura,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
global,B0,0.8125,0.691667,0.920833,40,90
global,B1,0.8125,0.6875,0.925,40,90
global,B2,0.756757,0.618421,0.884615,37,82
global,B3,0.774775,0.644144,0.894749,37,86
informativa,B0,0.733333,0.433333,1.0,10,23
informativa,B1,0.7,0.4,1.0,10,25
informativa,B2,0.6,0.3,0.9,10,25
informativa,B3,0.7,0.45,0.95,10,20
diagnostico,B0,0.716667,0.45,0.95,10,20
diagnostico,B1,0.75,0.5,1.0,10,23
diagnostico,B2,0.666667,0.388889,0.928571,9,18
diagnostico,B3,0.666667,0.333333,1.0,9,22
compuesta,B0,0.8,0.5,1.0,10,26
compuesta,B1,0.8,0.5,1.0,10,20
compuesta,B2,0.8,0.5,1.0,10,23
compuesta,B3,0.8,0.5,1.0,10,26
adversarial,B0,1.0,1.0,1.0,10,21
adversarial,B1,1.0,1.0,1.0,10,22
adversarial,B2,1.0,1.0,1.0,8,16
adversarial,B3,0.958333,0.866667,1.0,8,18
