codigo,arquitectura,tokens,estadistico,valor,ic_inferior,ic_superior,n_tareas,n_observaciones
M4.1,B0,,mediana_entre_tareas,2757.76305,2313.38845,3233.592275,40.0,90
M4.1,B1,,mediana_entre_tareas,2921.8937,2461.50495,3336.073125,40.0,90
M4.1,B2,,mediana_entre_tareas,6732.48845,3738.9601,7892.0078,37.0,82
M4.1,B3,,mediana_entre_tareas,7700.8673,4245.8802,9234.2573,37.0,86
M4.1,B0,,p95_ejecuciones,7557.269815,,,,90
M4.1,B0,,rango_intercuartilico_ejecuciones,2078.374825,,,,90
M4.1,B1,,p95_ejecuciones,6479.964865,,,,90
M4.1,B1,,rango_intercuartilico_ejecuciones,2085.140575,,,,90
M4.1,B2,,p95_ejecuciones,12596.04031,,,,82
M4.1,B2,,rango_intercuartilico_ejecuciones,6423.988975,,,,82
M4.1,B3,,p95_ejecuciones,12070.2717,,,,86
M4.1,B3,,rango_intercuartilico_ejecuciones,6826.08215,,,,86
M4.4,B0,,mediana_entre_tareas,2.25,2.0,3.0,40.0,90
M4.4,B1,,mediana_entre_tareas,2.0,2.0,3.0,40.0,90
M4.4,B2,,mediana_entre_tareas,7.0,4.0,9.0,37.0,82
M4.4,B3,,mediana_entre_tareas,8.0,5.0,9.0,37.0,86
M4.5,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,90
M4.5,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,90
M4.5,B2,,mediana_entre_tareas,4.0,2.0,6.0,37.0,82
M4.5,B3,,mediana_entre_tareas,4.0,2.0,6.0,37.0,86
M4.6,B0,total,mediana_entre_tareas,13001.5,11397.0,17583.5,40.0,90
M4.6,B1,total,mediana_entre_tareas,11801.0,11311.5,17294.0,40.0,90
M4.6,B2,total,mediana_entre_tareas,22630.0,16371.0,29193.0,37.0,82
M4.6,B3,total,mediana_entre_tareas,22631.0,18010.5,29418.0,37.0,86
M4.6,B0,entrada,mediana_entre_tareas,12723.0,11139.0,17278.5,40.0,90
M4.6,B1,entrada,mediana_entre_tareas,11498.5,11095.5,16969.5,40.0,90
M4.6,B2,entrada,mediana_entre_tareas,21726.0,15948.0,28039.0,37.0,82
M4.6,B3,entrada,mediana_entre_tareas,21721.0,17692.0,28578.75,37.0,86
M4.6,B0,salida,mediana_entre_tareas,302.25,222.25,346.0,40.0,90
M4.6,B1,salida,mediana_entre_tareas,298.0,221.5,336.5,40.0,90
M4.6,B2,salida,mediana_entre_tareas,719.0,378.0,956.0,37.0,82
M4.6,B3,salida,mediana_entre_tareas,867.5,401.0,955.0,37.0,86
M4.6,B0,total,suma_corrida,1522293.0,,,,90
M4.6,B1,total,suma_corrida,1389482.0,,,,90
M4.6,B2,total,suma_corrida,2142742.0,,,,82
M4.6,B3,total,suma_corrida,2160540.0,,,,86
M4.6,,total,suma_corrida,7215057.0,,,,348
M4.7,B0,,mediana_entre_tareas,0.0,0.0,0.0,40.0,90
M4.7,B1,,mediana_entre_tareas,0.0,0.0,0.0,40.0,90
M4.7,B2,,mediana_entre_tareas,0.0,0.0,0.0,37.0,82
M4.7,B3,,mediana_entre_tareas,0.0,0.0,0.0,37.0,86
M4.7,B0,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,90
M4.7,B1,,proyeccion_1000_solicitudes,0.0,0.0,0.0,40.0,90
M4.7,B2,,proyeccion_1000_solicitudes,0.0,0.0,0.0,37.0,82
M4.7,B3,,proyeccion_1000_solicitudes,0.0,0.0,0.0,37.0,86
